pt1_cam1_Z,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_Z,pt2_cam2_X,pt2_cam2_Y
333.93,517.57,457.05,305,812.39,486.88
333.93,517.24,457.19,304.98,812.3,486.86
333.91,517.18,457.18,305.02,812.32,486.87
333.91,517.15,457.17,305.01,812.29,486.87
333.88,517.12,457.17,305.01,812.28,486.87
333.86,517.08,457.16,305.01,812.25,486.87
333.84,517.05,457.14,304.99,812.23,486.86
333.81,517.03,457.13,304.97,812.2,486.86
333.82,517,457.11,304.99,812.16,486.85
333.78,516.97,457.1,306.414731,812.12,486.83
333.79,516.93,457.07,306,812.09,486.85
333.83,516.89,457.07,305.99,812.08,486.84
334.09,516.85,457.06,306.01,812.04,486.83
334.06,516.79,457.05,306,812.02,486.85
334.02,516.74,457.04,306.02,812.03,486.8
334.01,516.65,457.03,305.99,811.99,486.77
333.98,516.57,457.05,306.01,811.96,486.76
333.94,516.23,457.22,305.99,811.92,486.64
333.93,516.17,457.2,305.98,811.88,486.6
333.91,516.13,457.18,306,811.78,486.42
333.89,516.1,457.17,305.99,811.69,486.23
333.86,516.06,457.16,305.98,808.695101,485.972005
333.85,516.04,457.14,305.99,809.150024,486.98281
333.88,516.01,457.12,305.99,809.19,487.21
333.84,515.98,457.1,305.99,809.28,487.13
333.85,515.96,457.08,306.01,809.25,486.78
333.88,515.93,457.05,306.01,809.21,486.61
334.09,515.87,457.05,305.99,809.02,485.99
334.07,515.84,457.04,302.312965,808.8,485.39
334.06,515.8,457.02,302.312965,808.79,485.21
334.03,515.75,457.01,301.98,808.87,485.12
334.02,515.67,457.02,301.99,808.95,485.03
334,515.57,457.03,301.99,809.01,484.97
333.99,515.22,457.18,301.99,809.05,484.92
333.97,515.17,457.17,302,809.06,484.84
333.94,515.12,457.15,302.02,809.08,484.77
333.93,515.09,457.13,301.98,809.11,484.68
333.92,515.06,457.11,301.97,809.11,484.59
333.91,515.01,457.09,301.99,809.09,484.48
333.9,514.99,457.07,301.99,809.02,483.84
333.89,514.95,457.04,301.98,808.89,483.08
333.93,514.92,457.04,301.98,808.68,482.32
334.21,514.88,457.01,302,808.04,482.04
334.66,514.85,456.99,301.97,807.32,481.73
334.8,514.78,456.99,301.98,807.16,480.99
334.79,514.73,456.97,302.01,808.695101,479.907171
334.78,514.66,456.97,302,809.63,480.08
334.77,514.56,456.98,302,810.73,480.71
334.74,514.22,457.11,302,811.61,481.12
334.7,514.16,457.11,301.99,812.85,482
334.69,514.12,457.08,301.99,809.377486,479.907171
334.66,514.08,457.06,301.97,807.05,478.25
334.67,514.05,457.03,301.99,809.150024,479.907171
334.6,514.01,457.03,301.99,810.06,480.63
334.55,513.98,457,302,810.93,480.9
334.24,513.94,456.98,301.98,811.68,481.08
334.22,513.9,456.95,302.02,811.85,481.02
334.21,513.87,456.93,301.98,811.96,480.92
334.17,513.8,456.92,301.96,812.03,480.8
334.16,513.75,456.91,301.96,809.832409,477.21169
334.13,513.66,456.9,302.02,808.17,475.52
334.12,513.59,456.91,302,809.832409,476.874755
334.1,513.46,456.94,301.99,810.86,477.34
334.09,513.17,457.01,303.575047,811.9,477.83
334.06,513.14,457,304.01,812.75,478.05
334.05,513.09,456.98,301.366403,810.059871,475.190079
334.03,513.06,456.96,302.944006,808.2,473.66
334.01,513.01,456.95,303.01,809.150024,472.157662
334,512.99,456.92,303.02,809.03,471.76
334,512.94,456.89,302.99,808.95,471.38
333.99,512.89,456.86,302.99,808.96,471.13
333.98,512.84,456.82,303,809.02,470.96
333.97,512.79,456.83,303,809.06,470.76
333.98,512.74,456.78,302.99,808.97,470.37
334.23,512.69,456.76,302.99,808.96,470.08
334.21,512.57,456.81,303,809.02,469.92
334.16,512.23,456.91,303,809.06,469.72
334.14,512.2,456.9,303,808.95,469.34
334.11,512.15,456.88,303.02,808.95,469.07
334.09,512.09,456.86,302.98,809,468.92
334.07,512.04,456.83,305.152649,809.03,468.72
334.05,512.01,456.81,304.837129,808.92,468.36
334.04,511.99,456.77,305,808.89,468.08
334.03,511.96,456.71,304.837129,808.95,467.94
334,511.93,456.69,304.97,809,467.77
334.02,511.9,456.66,305,808.97,467.51
334.01,511.88,456.61,304.837129,808.87,467.13
333.98,511.86,456.55,304.98,808.93,466.98
333.97,511.96,456.06,304.99,808.99,466.82
334.02,511.92,456.03,304.96,808.97,466.56
334.24,511.88,456.02,304.99,808.87,466.17
334.23,511.83,456,304.99,808.9,466
334.18,511.75,455.98,304.98,808.96,465.86
334.17,511.69,455.96,305,808.98,465.65
334.14,511.6,455.96,304.98,808.82,465.22
334.13,511.46,456.01,305.46817,808.86,465.07
334.09,511.19,456.07,305.46817,808.92,464.94
334.11,511.14,456.06,304.98,808.96,464.77
334.05,511.11,456.03,304.95,808.94,464.54
334.07,511.07,456.01,304.92,808.81,464.16
334.04,511.03,455.99,304.97,808.86,464.01
334.04,510.99,455.96,304.98,808.93,463.88
334.03,510.96,455.93,304.98,808.95,463.68
334.02,510.92,455.91,304.96,808.467639,465.418958
334.01,510.89,455.88,303.890567,808.18,464.96
333.98,510.83,455.86,303.890567,808.15,464.69
333.98,510.8,455.82,303.99,807.85,464.18
333.99,510.73,455.81,303.97,807.94,464.05
334.26,510.66,455.8,303.98,808.05,463.94
334.9,510.51,455.86,304.01,808.15,463.79
335.1,510.21,455.95,304,807.88,463.34
335.1,510.15,455.93,303.890567,807.89,463.11
335.11,510.1,455.91,304,807.99,463.01
335.13,510.06,455.88,304.837129,808.08,462.9
335.13,510.02,455.84,304.837129,808.13,462.75
335.11,509.99,455.8,305.01,807.9,462.33
335.1,509.95,455.77,305.04,807.91,462.1
335.09,509.93,455.71,305,808.01,461.98
335.1,509.88,455.69,305.05,808.1,461.86
335.07,509.84,455.66,305.06,808.13,461.66
335.06,509.84,455.59,305.02,807.88,461.2
335.07,509.82,455.53,305.04,807.95,461.07
335.03,509.92,455.04,305.02,808.03,460.97
335.02,509.88,455.02,305.03,808.11,460.86
335,509.82,455,305,808.17,460.72
334.96,509.76,454.99,304.837129,807.94,460.32
334.96,509.66,454.98,304.99,807.93,460.1
334.92,509.61,454.96,305.02,808.03,460
334.9,509.46,455.02,304.837129,808.12,459.89
334.88,509.18,455.08,305,808.22,459.77
334.87,509.14,455.07,304.99,808.19,459.57
334.85,509.1,455.04,304.837129,807.98,459.14
334.82,509.07,455.01,304.98,808.04,459.02
334.81,509.02,454.99,305.03,808.08,458.92
334.78,509,454.97,305.02,808.16,458.8
334.78,508.96,454.92,305.02,808.1,458.52
334.74,508.93,454.9,305,807.96,458.13
334.72,508.87,454.87,305.01,807.95,457.98
334.72,508.84,454.85,305.02,807.99,457.87
334.74,508.8,454.8,305.01,808.01,457.7
334.76,508.72,454.81,305,807.91,457.4
335.04,508.63,454.82,305.02,807.84,457.09
335.24,508.52,454.85,304.521608,807.85,456.96
335.26,508.24,454.94,304.521608,807.91,456.82
335.26,508.17,454.92,305.06,807.88,456.61
335.25,508.12,454.91,304.521608,807.557792,455.647838
335.24,508.09,454.89,304.521608,807.66,455.8
335.24,508.05,454.87,305,808.1,455.8
335.19,508.01,454.83,304.521608,808.02,455.55
335.2,507.99,454.81,304.99,807.77,455.13
335.19,507.96,454.77,304.99,807.8,455
335.18,507.93,454.74,304.98,807.87,454.92
335.15,507.91,454.69,303.890567,807.92,454.83
335.12,507.87,454.68,303.99,807.96,454.73
335.11,507.83,454.65,303.99,807.92,454.5
335.08,507.82,454.53,304.01,807.62,454.09
335.05,507.93,454.06,303.890567,806.98,453.79
335.05,507.9,454.04,303.99,806.42,453.45
335.03,507.85,454.04,304.03,806.44,453.28
335,507.8,454.02,303.890567,806.27,453.04
334.99,507.75,454.01,304,806.15,452.85
335,507.69,454.01,304.03,806.21,452.8
334.96,507.61,454.01,303.99,806.3,452.75
334.96,507.54,454,303.99,806.4,452.72
334.93,507.23,454.14,303.890567,806.41,452.62
334.91,507.17,454.11,303.890567,806.36,452.44
334.91,507.14,454.09,303.890567,806.27,452.12
334.88,507.12,454.07,303.890567,806.21,451.92
334.86,507.08,454.05,303.98,806.13,451.71
334.83,507.04,454.02,303.890567,806.02,451.36
334.82,507.01,454,303.259526,805.98,451.27
334.81,506.98,453.98,303,805.95,451.14
334.8,506.95,453.97,303.259526,805.98,451.03
334.84,506.91,453.94,303.259526,805.98,450.95
335.08,506.86,453.94,303.575047,805.95,450.84
335.39,506.81,453.92,304.02,805.9,450.72
335.55,506.76,453.91,303.575047,805.8,450.52
335.48,506.69,453.9,304.01,805.58,450.12
335.33,506.62,453.91,303.575047,805.06,450.01
335.3,506.51,453.94,303.575047,805.01,449.98
335.29,506.22,454.03,303.98,805.02,449.91
335.29,506.18,454.02,303.575047,804.92,449.9
